customer_id,first_name,last_name,date_of_birth,gender,email,phone_number,address,city,country,occupation,income_bracket,customer_since
819c2e41-df3f-4484-893d-a5539359dda1,Michael,Rodriguez,null,F,bbrown@example.net,869.223.6352x3301,000 Adams Cliff,Cologne,Germany,Chartered loss adjuster,Medium,2022-03-14
5e1182c7-536c-4bd5-ba0d-85f586537b3b,Charles,Meyers,1936-12-28,F,stephennguyen@example.net,5823113504,323 Foster Burgs,Munich,Germany,Animator,Medium,2022-01-17
7da3811c-fa7a-4e1e-a0ce-6fa0f47d1083,Kelly,Smith,1994-11-19,M,paul33@example.com,(919)836-3328,45986 Solomon Route Apt. 975,Birmingham,United Kingdom,Network engineer,Medium,2023-11-02
38ca0599-f9b8-4cb8-b7ba-e6a2303c075d,Katherine,Briggs,2000-05-16,M,michaelthomas@example.net,693.246.8156x4269,804 David Village Suite 586,Bangalore,India,"Programmer, systems",High,2017-07-10
85685b56-c150-446d-84ec-f78dab39f409,David,Cain,2013-12-08,M,heathdavid@example.com,001-247-262-1000x065,714 Cindy Route Apt. 639,Tokyo,Japan,Estate manager/land agent,Low,2017-04-14
81f27ed6-200b-4072-b5e3-1297b870678a,Gabrielle,Morgan,1960-09-05,F,mayjulie@example.net,001-944-202-5272x516,62299 Jensen Mill,Chicago,United States,"Horticulturist, amenity",High,2015-09-08
c98494ce-5652-4f9e-a06b-f29d55921e9e,Jeremiah,Hernandez,2021-02-20,M,edwardmcguire@example.org,001-215-271-2267x723,544 Michael Cove,New York,United States,Magazine features editor,Medium,2018-11-03
025a1570-5216-47d8-add7-7302e75d84b7,Tammy,Moore,2018-08-27,F,mary97@example.net,268.256.7385x46644,56239 Hatfield Pine Suite 813,Glasgow,United Kingdom,Barrister,Low,2015-08-20
35fd3150-5245-4379-8824-0c2520b89c45,John,Mays,2008-06-12,M,christopher10@example.net,539-593-9735x94531,7181 Jennifer Dale,Manchester,United Kingdom,Youth worker,Medium,2017-03-04
11eb811d-f6d5-4fe1-a5ce-4680335aa286,Elizabeth,Eaton,1971-07-13,F,aaron00@example.org,704-391-9107x664,936 Adrienne Green Apt. 158,Los Angeles,United States,Special effects artist,Low,2015-06-09
4126e395-bb95-4a0f-9d28-794f33082833,null,Washington,1930-04-22,M,iwalker@example.org,+1-679-799-6348x901,29852 Jennifer Green,Sapporo,Japan,Outdoor activities/education manager,Low,2021-07-12
fe49a068-2b95-4df6-ad1d-7c16d25f98c6,Erika,Mcmillan,2015-12-01,F,johnsonkimberly@example.org,+1-247-899-8324x962,57149 Patrick Circle Suite 444,New York,United States,Oceanographer,Medium,2016-12-06
c39cf5c8-31a0-42af-9321-186db23b97d3,Daniel,Elliott,1957-11-26,M,morgandavis@example.com,001-751-244-4424x3565,426 Mary Summit,Glasgow,United Kingdom,"Engineer, agricultural",High,2019-08-05
8988ebfe-3e26-40cc-8d53-acde952cc93b,Leah,Anderson,null,M,muellerhayley@example.net,(712)322-9613x724,399 Parker Mission,Liverpool,United Kingdom,Operational researcher,Low,2015-08-06
fc3b2754-1ae9-4522-b5f9-e1adb76d299b,null,Allen,1994-06-02,M,wrightmichael@example.net,001-751-759-2217x9678,7268 Angela Falls,New York,United States,"Surveyor, mining",Low,2023-03-18
98a708cc-468e-4cde-9bb4-0bdadb836849,Ryan,Adams,2024-02-20,F,danderson@example.com,+1-322-930-1338x7831,94252 Santos Knolls,Sapporo,Japan,Dispensing optician,Low,2023-07-28
92d5bf0d-33b8-4541-93a5-0463271685c1,Amanda,Mitchell,1925-11-12,F,michael68@example.com,+1-432-303-9637x075,535 Sims Village Suite 300,Berlin,Germany,"Presenter, broadcasting",Low,2015-06-29
94017fcc-da34-465d-85a6-11d76f440903,William,Delgado,2012-09-08,F,george97@example.org,(353)858-4106x7141,315 Robert Harbor,Manchester,United Kingdom,Catering manager,Medium,2016-12-27
19869852-aced-4b01-8261-aa1657237953,Roberto,Green,null,M,sheltonmark@example.org,(279)440-8808x471,1672 Paul Roads,Hamburg,Germany,"Geologist, engineering",High,2023-01-25
cbc3ff95-16fa-44b4-ac43-1d94e39d7cbb,Jamie,Thomas,1971-12-15,M,lincole@example.org,806.323.6916x02139,38448 Joseph Road Apt. 624,Hyderabad,India,Pathologist,High,2023-07-15
e32310a9-2021-4fcb-b93f-a56790679086,Brandi,Chapman,1977-02-24,M,ryan38@example.net,838.969.6434x42407,38235 Anthony Mall,Tokyo,Japan,Multimedia programmer,Low,2015-04-03
6408c6db-bebc-42bc-8b07-d7bb0aeb92a5,Richard,Rodriguez,1948-04-01,M,joshuasmith@example.net,+1-223-305-1689x53000,21357 Jonathan Drive,Liverpool,United Kingdom,Conference centre manager,Low,2015-06-08
24d536c1-4614-4aba-8108-964c4060b096,Jonathon,Cochran,1926-07-27,M,zmorgan@example.net,759-547-5651,198 Mooney Row Suite 479,New York,United States,Educational psychologist,Low,2019-05-11
cf3f9e28-5d92-4aad-9167-553e07dfb770,Andrew,King,null,M,melissamcdowell@example.org,+1-626-210-6099x79221,300 Sara Estates,Birmingham,United Kingdom,Chartered management accountant,High,2024-06-04
74a4a878-b7a8-4230-988b-372fe822fd90,Matthew,Adams,2014-06-06,F,ugonzales@example.com,+1-847-223-0992x58475,8718 Reeves Lock Apt. 610,Cologne,Germany,Landscape architect,Low,2021-05-11
6e7b03f3-4309-4b0f-bef1-84fc8cdd0ace,Frank,Merritt,1935-06-27,M,zcunningham@example.com,001-374-402-4613x880,0109 Amanda Ford,Frankfurt,Germany,Dealer,High,2017-02-15
fefefe73-ce45-4b82-a7fe-9adafc6fe547,Peter,Bailey,1949-06-09,M,catherinereynolds@example.org,001-207-888-2448x29951,70165 Richardson Extension Apt. 122,Glasgow,United Kingdom,Private music teacher,Low,2017-06-14
82e13eb6-39ec-49e6-9a2b-aa6b41b2b8c3,Abigail,Chen,1937-12-04,M,kcarlson@example.net,001-948-484-6274x481,7188 Ashley Drive Apt. 011,Mumbai,India,"Pilot, airline",Medium,2018-09-01
037c92c4-dca2-4256-b64d-613e73c814c4,Cynthia,Jones,1984-10-24,F,rodriguezcarla@example.net,956-964-4465,563 Olsen Ranch,Houston,United States,Estate agent,High,2021-12-27
e441580d-130d-4093-b22a-d77ad9cec8ff,Kevin,Shaw,1936-03-15,M,jaredharrison@example.com,926.470.5393x3557,424 Janet Neck,Manchester,United Kingdom,"Scientist, research (maths)",High,2016-04-03
c3ea146c-dbde-4b7b-bd7b-61001e63b682,Victoria,Kim,1974-01-21,F,earcher@example.org,001-827-907-4345,288 Jason Prairie,Frankfurt,Germany,"Surveyor, building control",High,2016-09-25
e9581170-9086-4f00-8215-ba05e58c8082,Mitchell,Chen,null,M,lspencer@example.net,(933)529-9639,64022 James Coves,Los Angeles,United States,Pathologist,High,2019-04-01
34f87451-94b9-4ba1-b4f1-c4c47bb8b5e3,Andrew,Cohen,1953-11-13,M,danielsdylan@example.org,308.691.4199,23238 Soto Plaza,Osaka,Japan,"Production assistant, television",High,2020-12-09
af99ace2-87ff-4f24-8f03-099da1528a65,Julia,Sanchez,2015-01-12,F,parsonslinda@example.com,(423)847-7359,645 James Divide Apt. 785,Phoenix,United States,"Exhibitions officer, museum/gallery",High,2023-04-07
41cf6160-4a2f-45f8-9d3f-e15cfe2943b2,Alexander,Guzman,1932-03-16,M,jeffross@example.com,230-346-1885,29936 Summer Estate Suite 815,Sapporo,Japan,Administrator,High,2020-10-14
